VendorNumber,VendorName,InvoiceDate,PONumber,PODate,PayDate,invoice_quantity,invoice_dollars,Freight,Approval,total_item_quantity,total_item_dollars,average_purchase_price,number_of_purchase_lines,number_of_brands,invoice_year,invoice_month,invoice_quarter,invoice_day_of_week,po_to_invoice_days,invoice_to_pay_days,quantity_difference,absolute_quantity_difference,quantity_difference_percentage,dollar_difference,absolute_dollar_difference,dollar_difference_percentage,invoice_cost_per_unit,purchase_cost_per_unit,freight_percentage,freight_per_unit,invoice_plus_freight,vendor_invoice_count,vendor_average_invoice_value,vendor_average_freight,vendor_average_freight_percentage,invoice_vs_vendor_average,invoice_vs_vendor_average_percentage,freight_vs_vendor_average,freight_vs_vendor_average_percentage,anomaly_prediction,anomaly_status,anomaly_score,risk_category
3960,DIAGEO NORTH AMERICA INC   ,2024-12-13,13258,2024-11-28,2025-01-29,116065,1049079.36,4720.86,Frank Delahunt,218,1865.06,11.278,20,9,2024,12,4,4,15,47,115847,115847,53140.82568807339,1047214.3,1047214.3,56149.09439910781,9.038722784646534,8.55532110091743,0.450000274526419,0.04067427734459139,1053800.2200000002,55,926541.760909091,4673.310363636364,0.5421120192325223,122537.59909090912,13.225264554797771,47.54963636363573,1.0174722555049123,-1,Anomaly,88.46,High
3960,DIAGEO NORTH AMERICA INC   ,2024-10-24,12470,2024-10-05,2024-11-24,110018,1018011.41,4581.05,Frank Delahunt,195,2339.77,11.658888888888889,9,3,2024,10,4,3,19,31,109823,109823,56319.48717948718,1015671.64,1015671.64,43409.03764045184,9.253135032449237,11.998820512820513,0.4499998678796734,0.04163909542074933,1022592.4600000001,55,926541.760909091,4673.310363636364,0.5421120192325223,91469.64909090905,9.872156113196901,-92.26036363636376,1.974197227606659,-1,Anomaly,87.44,High
3960,DIAGEO NORTH AMERICA INC   ,2024-12-05,13032,2024-11-13,2024-12-30,89252,805480.52,4027.4,Frank Delahunt,96,1670.08,18.812,10,3,2024,12,4,3,22,25,89156,89156,92870.83333333334,803810.4400000001,803810.4400000001,48130.0560452194,9.024789584547126,17.396666666666665,0.49999967721131233,0.04512391879173576,809507.92,55,926541.760909091,4673.310363636364,0.5421120192325223,-121061.24090909096,13.065923848948788,-645.9103636363639,13.821259736187788,-1,Anomaly,87.03,High
4425,MARTIGNETTI COMPANIES,2024-11-15,12841,2024-10-30,2025-01-01,49724,508389.08,2592.78,Frank Delahunt,141660,1660435.8800000001,17.368670707070706,4950,242,2024,11,4,4,16,47,-91936,91936,64.89905407313286,-1152046.8,1152046.8,69.38219137977192,10.22421929048347,11.721275448256389,0.5099991526175188,0.05214343174322259,510981.86000000004,82,339776.7075609756,1767.4297560975608,0.5925927593107073,168612.3724390244,49.62446474020458,825.3502439024394,46.697767821041516,-1,Anomaly,86.54,High
3960,DIAGEO NORTH AMERICA INC   ,2024-12-21,13354,2024-12-05,2025-01-30,134333,1127733.09,5300.35,Frank Delahunt,3867,31581.13,8.906575342465754,438,81,2024,12,4,5,16,40,130466,130466,3373.8298422549783,1096151.9600000002,1096151.9600000002,3470.9079757437435,8.395056240834345,8.16682958365658,0.4700003969911001,0.03945679765954754,1133033.4400000002,55,926541.760909091,4673.310363636364,0.5421120192325223,201191.3290909091,21.714221374491213,627.0396363636364,13.417461875477251,-1,Anomaly,86.25,High
3960,DIAGEO NORTH AMERICA INC   ,2024-10-25,12579,2024-10-12,2024-12-05,112498,1160505.37,6150.68,Frank Delahunt,3391,80144.5,25.85687747035573,253,27,2024,10,4,4,13,41,109107,109107,3217.5464464759657,1080360.87,1080360.87,1348.016233178821,10.315786680652101,23.63447360660572,0.5300001326146384,0.05467368308769934,1166656.05,55,926541.760909091,4673.310363636364,0.5421120192325223,233963.60909090913,25.25127511374685,1477.3696363636363,31.61291507320468,-1,Anomaly,85.51,High
6830,PARK STREET IMPORTS LLC    ,2025-01-02,13652,2024-12-23,2025-02-11,253,3844.39,20.38,Unknown,92470,1010674.21,11.203606525157232,5088,486,2025,1,1,3,10,40,-92217,92217,99.72639775062181,-1006829.82,1006829.82,99.6196212427346,15.195217391304347,10.929752460257381,0.5301231144602915,0.08055335968379446,3864.77,32,2170.606875,11.259062499999999,0.5017383641033015,1673.783125,77.11129750291609,9.1209375,81.00974215215521,-1,Anomaly,85.32,High
3960,DIAGEO NORTH AMERICA INC   ,2024-10-13,12397,2024-09-30,2024-11-27,111132,1006682.3,5033.41,Frank Delahunt,8493,64459.68,9.781731448763251,566,35,2024,10,4,6,13,45,102639,102639,1208.5128929706818,942222.62,942222.62,1461.7240110407001,9.058437713709823,7.589742140586365,0.49999985099569144,0.045292175071086634,1011715.7100000001,55,926541.760909091,4673.310363636364,0.5421120192325223,80140.53909090906,8.649425473524033,360.0996363636359,7.70545091902344,-1,Anomaly,84.38,High
3960,DIAGEO NORTH AMERICA INC   ,2024-07-16,10936,2024-06-27,2024-08-13,131712,1377224.55,7574.74,Frank Delahunt,131712,1377224.55,16.440888998035362,6108,251,2024,7,3,1,19,28,0,0,0.0,0.0,0.0,0.0,10.456333135932946,10.456333135932946,0.5500003612337581,0.057509870019436346,1384799.29,55,926541.760909091,4673.310363636364,0.5421120192325223,450682.78909090906,48.64138974682744,2901.429636363636,62.0851047886748,-1,Anomaly,83.7,High
12546,JIM BEAM BRANDS COMPANY    ,2025-01-04,13583,2024-12-19,2025-02-13,63902,663709.26,3650.4,Frank Delahunt,541,6789.1,12.53609756097561,41,4,2025,1,1,5,16,40,63361,63361,11711.829944547135,656920.16,656920.16,9676.100808649158,10.386361303245595,12.54916820702403,0.5499998598784052,0.05712497261431567,667359.66,55,440057.2918181818,2252.381272727273,0.5328791515223349,223651.9681818182,50.823375124124595,1398.0187272727271,62.068475892624974,-1,Anomaly,83.29,High
3960,DIAGEO NORTH AMERICA INC   ,2024-08-03,11300,2024-07-21,2024-09-14,114609,1225680.18,6373.54,Frank Delahunt,114609,1225680.18,16.44203723788865,5532,246,2024,8,3,5,13,42,0,0,0.0,0.0,0.0,0.0,10.694449650551004,10.694449650551004,0.5200002499836458,0.05561116491724036,1232053.72,55,926541.760909091,4673.310363636364,0.5421120192325223,299138.41909090895,32.28547613411452,1700.229636363636,36.38169742787348,-1,Anomaly,82.59,High
3960,DIAGEO NORTH AMERICA INC   ,2024-07-26,11028,2024-07-03,2024-08-18,131032,1160975.84,6269.27,Frank Delahunt,131032,1160975.84,16.32013053348468,5286,245,2024,7,3,4,23,23,0,0,0.0,0.0,0.0,0.0,8.860246657305087,8.860246657305087,0.5400000399663786,0.047845335490567194,1167245.11,55,926541.760909091,4673.310363636364,0.5421120192325223,234434.0790909091,25.30205210188156,1595.9596363636365,34.15051670400507,-1,Anomaly,81.99,High
3960,DIAGEO NORTH AMERICA INC   ,2024-06-06,10260,2024-05-17,2024-07-14,117416,1219948.49,6709.72,Frank Delahunt,117416,1219948.49,16.57685952012384,5168,245,2024,6,2,3,20,38,0,0,0.0,0.0,0.0,0.0,10.389968062274306,10.389968062274306,0.5500002709130777,0.057144852490290936,1226658.21,55,926541.760909091,4673.310363636364,0.5421120192325223,293406.729090909,31.666865053446525,2036.4096363636363,43.575313384045806,-1,Anomaly,81.18,High
3960,DIAGEO NORTH AMERICA INC   ,2024-09-09,11794,2024-08-24,2024-10-06,112335,1114978.86,6020.89,Frank Delahunt,112335,1114978.86,16.256693210393966,4772,251,2024,9,3,0,16,27,0,0,0.0,0.0,0.0,0.0,9.925480571504874,9.925480571504874,0.540000372742493,0.05359763208261005,1120999.75,55,926541.760909091,4673.310363636364,0.5421120192325223,188437.09909090912,20.337680074562545,1347.5796363636364,28.835654632513364,-1,Anomaly,81.05,High
3960,DIAGEO NORTH AMERICA INC   ,2024-04-06,9451,2024-03-22,2024-05-10,106205,1162576.08,5812.88,Frank Delahunt,106205,1162576.08,16.11092572658773,4645,256,2024,4,2,5,15,34,0,0,0.0,0.0,0.0,0.0,10.94652869450591,10.94652869450591,0.49999996559364956,0.05473263970622852,1168388.96,55,926541.760909091,4673.310363636364,0.5421120192325223,236034.3190909091,25.47476315145475,1139.5696363636362,24.384634182030275,-1,Anomaly,80.75,High
3960,DIAGEO NORTH AMERICA INC   ,2024-06-15,10468,2024-05-31,2024-07-24,108170,1117060.84,5473.6,Frank Delahunt,108170,1117060.84,16.58151815181518,4848,268,2024,6,2,5,15,39,0,0,0.0,0.0,0.0,0.0,10.326900619395397,10.326900619395397,0.4900001686568835,0.0506018304520662,1122534.4400000002,55,926541.760909091,4673.310363636364,0.5421120192325223,190519.0790909091,20.56238446327323,800.2896363636364,17.12468409097744,-1,Anomaly,80.53,High
3960,DIAGEO NORTH AMERICA INC   ,2024-10-08,12149,2024-09-18,2024-11-07,118819,1038996.71,4883.28,Frank Delahunt,118819,1038996.71,15.446129691564476,5382,272,2024,10,4,1,20,30,0,0,0.0,0.0,0.0,0.0,8.744365042627862,8.744365042627862,0.4699995633287424,0.04109847751622215,1043879.99,55,926541.760909091,4673.310363636364,0.5421120192325223,112454.94909090898,12.137062120176003,209.9696363636358,4.492952961083793,-1,Anomaly,80.41,High
3960,DIAGEO NORTH AMERICA INC   ,2024-06-09,10415,2024-05-27,2024-07-13,104451,1013433.92,4560.45,Frank Delahunt,104451,1013433.92,16.135056266977106,5154,242,2024,6,2,6,13,34,0,0,0.0,0.0,0.0,0.0,9.70248173784837,9.70248173784837,0.4499997394995423,0.043661142545308326,1017994.37,55,926541.760909091,4673.310363636364,0.5421120192325223,86892.15909090906,9.3781157803026,-112.86036363636413,2.414998252941754,-1,Anomaly,80.32,High
3960,DIAGEO NORTH AMERICA INC   ,2024-01-14,8271,2023-12-31,2024-02-11,100183,954454.16,4581.38,Frank Delahunt,100183,954454.16,15.570095951322257,4273,241,2024,1,1,6,14,28,0,0,0.0,0.0,0.0,0.0,9.527106994200613,9.527106994200613,0.4800000033527016,0.04573011389157841,959035.54,55,926541.760909091,4673.310363636364,0.5421120192325223,27912.39909090905,3.0125354591165285,-91.93036363636384,1.9671358519580886,-1,Anomaly,80.25,High
3960,DIAGEO NORTH AMERICA INC   ,2024-08-01,11191,2024-07-14,2024-09-07,128861,1354087.31,7041.25,Frank Delahunt,128861,1354087.31,16.908641707361188,5529,244,2024,8,3,3,18,37,0,0,0.0,0.0,0.0,0.0,10.50812355949434,10.50812355949434,0.5199997037118678,0.05464221137504753,1361128.56,55,926541.760909091,4673.310363636364,0.5421120192325223,427545.5490909091,46.14422869309377,2367.939636363636,50.669428137897334,-1,Anomaly,80.23,High
3960,DIAGEO NORTH AMERICA INC   ,2024-08-30,11589,2024-08-10,2024-10-05,119801,1104864.79,5855.78,Frank Delahunt,119801,1104864.79,17.761451851851852,4725,274,2024,8,3,4,20,36,0,0,0.0,0.0,0.0,0.0,9.222500563434362,9.222500563434362,0.5299996934466523,0.04887922471431791,1110720.57,55,926541.760909091,4673.310363636364,0.5421120192325223,178323.02909090905,19.246086535370473,1182.4696363636358,25.3026130163446,-1,Anomaly,80.18,High
17035,PERNOD RICARD USA          ,2024-10-20,12441,2024-10-03,2024-11-21,29115,416593.78,2124.63,Frank Delahunt,110018,1018011.41,15.645109106168695,4766,246,2024,10,4,6,17,32,-80903,80903,73.53614863022415,-601417.63,601417.63,59.0776904946478,14.308561909668557,9.253135032449237,0.5100004133523068,0.07297372488408037,418718.41000000003,55,438619.8465454545,2250.5494545454544,0.5562122213278571,-22026.066545454494,5.021675767508143,-125.9194545454543,5.5950538785599075,-1,Anomaly,80.08,High
7240,"PREMIUM PORT WINES, INC.   ",2024-12-07,13226,2024-11-25,2025-01-12,353,2596.33,13.5,Unknown,116491,1319062.86,17.425586571793467,5481,249,2024,12,4,5,12,36,-116138,116138,99.69697229828914,-1316466.53,1316466.53,99.80316859198052,7.355042492917847,11.323302744418024,0.519964719430889,0.03824362606232295,2609.83,53,1127.5611320754717,5.683018867924528,0.5019291662273342,1468.7688679245282,130.26068619632218,7.816981132075472,137.54980079681275,-1,Anomaly,79.59,High
2000,SOUTHERN WINE & SPIRITS NE ,2024-11-12,12748,2024-10-24,2024-12-16,5102,47764.11,262.7,Unknown,127553,1409683.51,15.858996423311591,4753,243,2024,11,4,1,19,34,-122451,122451,96.0000940785399,-1361919.4,1361919.4,96.61171393002958,9.361840454723637,11.051747195283529,0.5499945461142267,0.051489611916895335,48026.81,67,55830.11014925373,283.8297014925373,0.5388224556149691,-8066.000149253727,14.447401460771692,-21.129701492537322,7.444499776248005,-1,Anomaly,78.96,High
3960,DIAGEO NORTH AMERICA INC   ,2024-05-07,9904,2024-04-22,2024-06-14,112194,1041834.26,4792.44,Frank Delahunt,112194,1041834.26,15.960444258172675,4772,244,2024,5,2,1,15,38,0,0,0.0,0.0,0.0,0.0,9.286006916590905,9.286006916590905,0.4600002307468752,0.04271565324348895,1046626.7,55,926541.760909091,4673.310363636364,0.5421120192325223,115292.49909090903,12.443313831617042,119.12963636363565,2.54914882800421,-1,Anomaly,78.63,High
3960,DIAGEO NORTH AMERICA INC   ,2024-09-13,11907,2024-09-01,2024-10-19,108240,1019820.55,4691.17,Frank Delahunt,108240,1019820.55,16.054705395906552,4837,232,2024,9,3,4,12,36,0,0,0.0,0.0,0.0,0.0,9.421845436067997,9.421845436067997,0.45999955580420493,0.043340447154471544,1024511.7200000001,55,926541.760909091,4673.310363636364,0.5421120192325223,93278.78909090906,10.06741336724932,17.859636363636127,0.3821624282137194,-1,Anomaly,78.5,High
3960,DIAGEO NORTH AMERICA INC   ,2024-06-29,10700,2024-06-16,2024-08-09,99841,982423.13,4420.9,Frank Delahunt,99841,982423.13,16.235856418259853,5126,250,2024,6,2,5,13,41,0,0,0.0,0.0,0.0,0.0,9.839876703959295,9.839876703959295,0.449999584191386,0.04427940425276189,986844.03,55,926541.760909091,4673.310363636364,0.5421120192325223,55881.36909090902,6.031176515571208,-252.4103636363643,5.401104227966586,-1,Anomaly,78.19,High
90051,FULCHINO VINEYARD INC      ,2025-01-07,13557,2024-12-18,2025-02-10,59,724.22,3.84,Unknown,63902,663709.26,13.563316176470588,4080,226,2025,1,1,1,20,34,-63843,63843,99.90767112140465,-662985.04,662985.04,99.89088294473999,12.274915254237289,10.386361303245595,0.5302256220485487,0.06508474576271187,728.0600000000001,34,327.8755882352941,1.615,0.4984836903940142,396.3444117647059,120.88256216265675,2.2249999999999996,137.7708978328173,-1,Anomaly,77.92,High
17035,PERNOD RICARD USA          ,2024-10-10,12352,2024-09-27,2024-11-12,34936,478178.46,2390.89,Frank Delahunt,6,214.26,35.71,1,1,2024,10,4,3,13,33,34930,34930,582166.6666666667,477964.2,477964.2,223076.72920750492,13.68726986489581,35.71,0.49999951900802886,0.06843628348980993,480569.35000000003,55,438619.8465454545,2250.5494545454544,0.5562122213278571,39558.6134545455,9.018883610969027,140.34054545454546,6.235834772308533,-1,Anomaly,77.69,High
2561,EDRINGTON AMERICAS         ,2024-12-27,13487,2024-12-13,2025-02-04,1714,54027.38,286.35,Unknown,124996,1104187.97,16.77840364676439,5594,240,2024,12,4,4,14,39,-123282,123282,98.62875612019585,-1050160.59,1050160.59,95.10704866672293,31.5212252042007,8.833786441166117,0.5300090435627269,0.16706534422403735,54313.729999999996,54,34867.27481481482,178.78703703703704,0.5610126824107214,19160.10518518518,54.95154206041997,107.56296296296298,60.16261846807189,-1,Anomaly,77.6,High
12546,JIM BEAM BRANDS COMPANY    ,2024-11-15,12908,2024-11-03,2024-12-31,48685,447402.74,2326.49,Frank Delahunt,12,52.08,4.34,1,1,2024,11,4,4,12,46,48673,48673,405608.3333333334,447350.66,447350.66,858968.2411674346,9.18974509602547,4.34,0.5199990505198963,0.047786587244531165,449729.23,55,440057.2918181818,2252.381272727273,0.5328791515223349,7345.448181818181,1.669202696646394,74.10872727272681,3.2902390092683116,-1,Anomaly,77.47,High
4425,MARTIGNETTI COMPANIES,2024-08-22,11614,2024-08-11,2024-09-22,79128,901839.64,4869.93,Frank Delahunt,79128,901839.64,11.594040880503144,4452,807,2024,8,3,3,11,31,0,0,0.0,0.0,0.0,0.0,11.39722525528258,11.39722525528258,0.539999550252637,0.06154496511980589,906709.5700000001,82,339776.7075609756,1767.4297560975608,0.5925927593107073,562062.9324390243,165.42126635862985,3102.5002439024393,175.5374001823235,-1,Anomaly,77.35,High
3960,DIAGEO NORTH AMERICA INC   ,2024-06-20,10566,2024-06-07,2024-08-04,109575,931123.74,5028.07,Frank Delahunt,109575,931123.74,15.801449099372597,4941,246,2024,6,2,3,13,45,0,0,0.0,0.0,0.0,0.0,8.497592881587954,8.497592881587954,0.5400001937443889,0.045887018024184344,936151.8099999999,55,926541.760909091,4673.310363636364,0.5421120192325223,4581.979090909008,0.49452483247094303,354.75963636363576,7.59118502216473,-1,Anomaly,77.0,High
9815,WINE GROUP INC             ,2024-12-16,13320,2024-12-01,2025-01-23,18580,106340.09,552.97,Unknown,116065,1049079.36,16.66776055476239,4903,238,2024,12,4,0,15,38,-97485,97485,83.99172877267048,-942739.2700000001,942739.2700000001,89.86348468432361,5.72336329386437,9.038722784646534,0.5200014406608082,0.029761571582346612,106893.06,55,95611.578,492.7347272727273,0.5469435876857932,10728.512000000002,11.220933933335985,60.23527272727273,12.22468589958602,-1,Anomaly,76.8,High
4425,MARTIGNETTI COMPANIES,2024-12-24,13396,2024-12-07,2025-01-29,60932,744027.42,4092.15,Frank Delahunt,660,4726.59,7.160166666666667,60,4,2024,12,4,1,17,36,60272,60272,9132.121212121212,739300.8300000001,739300.8300000001,15641.31498606818,12.210782839887088,7.1615,0.5499998911330445,0.06715929232587146,748119.5700000001,82,339776.7075609756,1767.4297560975608,0.5925927593107073,404250.7124390244,118.97540456521094,2324.7202439024395,131.53112512009312,-1,Anomaly,76.75,High
480,BACARDI USA INC            ,2024-11-17,12890,2024-11-02,2024-12-29,40775,574958.37,3047.28,Frank Delahunt,12,105.0,8.75,2,2,2024,11,4,6,15,42,40763,40763,339691.6666666666,574853.37,574853.37,547479.4,14.100757081545064,8.75,0.5300001111384812,0.07473402820355611,578005.65,55,320443.24945454544,1623.3867272727273,0.5239077851189218,254515.12054545456,79.42595794378164,1423.893272727273,87.71127968499525,-1,Anomaly,76.32,High
90051,FULCHINO VINEYARD INC      ,2024-11-28,13017,2024-11-11,2024-12-25,12,120.72,0.59,Unknown,119586,1321953.42,17.693285483218762,4946,245,2024,11,4,3,17,27,-119574,119574,99.98996538056294,-1321832.7,1321832.7,99.99086805948126,10.06,11.054416236014248,0.48873426110006624,0.049166666666666664,121.31,34,327.8755882352941,1.615,0.4984836903940142,-207.15558823529412,63.181156410654324,-1.025,63.46749226006192,-1,Anomaly,76.3,High
3960,DIAGEO NORTH AMERICA INC   ,2024-08-16,11329,2024-07-24,2024-09-14,106690,930623.99,4187.81,Frank Delahunt,106690,930623.99,16.141959047056506,5079,238,2024,8,3,4,23,29,0,0,0.0,0.0,0.0,0.0,8.72269181741494,8.72269181741494,0.4500002197450337,0.0392521323460493,934811.8,55,926541.760909091,4673.310363636364,0.5421120192325223,4082.229090909008,0.4405877061497654,-485.50036363636355,10.388789227741112,-1,Anomaly,76.3,High
17035,PERNOD RICARD USA          ,2024-12-27,13527,2024-12-15,2025-01-31,43300,593991.02,2969.96,Frank Delahunt,36,758.04,21.05666666666667,3,2,2024,12,4,4,12,35,43264,43264,120177.77777777778,593232.98,593232.98,78258.79636958471,13.718037413394919,21.056666666666665,0.5000008249282961,0.06859030023094688,596960.98,55,438619.8465454545,2250.5494545454544,0.5562122213278571,155371.1734545455,35.42274128228355,719.4105454545456,31.965995859435388,-1,Anomaly,76.14,High
3960,DIAGEO NORTH AMERICA INC   ,2024-02-03,8575,2024-01-21,2024-03-06,94829,823878.62,4531.33,Frank Delahunt,94829,823878.62,14.451035489667566,4452,268,2024,2,1,5,13,32,0,0,0.0,0.0,0.0,0.0,8.68804500732898,8.68804500732898,0.5499997074811821,0.04778422212614285,828409.95,55,926541.760909091,4673.310363636364,0.5421120192325223,-102663.14090909099,11.080249724347171,-141.98036363636402,3.0381111586581473,-1,Anomaly,76.11,High
4380,CHARLES JACQUIN ET CIE INC ,2024-11-07,12676,2024-10-19,2024-12-15,1468,8686.28,42.56,Unknown,122740,1468470.64,16.76774492053913,4971,250,2024,11,4,3,19,38,-121272,121272,98.8039758839824,-1459784.3599999999,1459784.3599999999,99.40848119374046,5.917084468664851,11.96407560697409,0.48996808760482047,0.02899182561307902,8728.84,55,5993.411272727272,30.461636363636362,0.5694877784489417,2692.8687272727284,44.93048457272567,12.09836363636364,39.716722673526775,-1,Anomaly,75.67,High
4425,MARTIGNETTI COMPANIES,2024-06-07,10247,2024-05-16,2024-07-05,80310,826621.86,4546.42,Frank Delahunt,80310,826621.86,10.430682114032804,3841,442,2024,6,2,4,22,28,0,0,0.0,0.0,0.0,0.0,10.292888307807246,10.292888307807246,0.5499999721759112,0.05661088282903748,831168.28,82,339776.7075609756,1767.4297560975608,0.5925927593107073,486845.15243902436,143.283851307452,2778.990243902439,157.23341956391963,-1,Anomaly,75.39,High
3960,DIAGEO NORTH AMERICA INC   ,2024-09-01,11670,2024-08-16,2024-10-13,100897,895189.29,4028.35,Frank Delahunt,100897,895189.29,15.573178624654036,4697,249,2024,9,3,6,16,42,0,0,0.0,0.0,0.0,0.0,8.872308294597461,8.872308294597461,0.4499997983666672,0.03992536943615767,899217.64,55,926541.760909091,4673.310363636364,0.5421120192325223,-31352.470909090945,3.383816275947344,-644.960363636364,13.800931533563116,-1,Anomaly,75.21,High
7255,PSP WINES ,2024-10-25,12585,2024-10-12,2024-11-26,508,3875.56,20.93,Unknown,112498,1160505.37,16.128493636553305,4793,254,2024,10,4,4,13,32,-111990,111990,99.5484364166474,-1156629.81,1156629.81,99.66604549188773,7.629055118110236,10.315786680652101,0.5400509861800618,0.041200787401574804,3896.49,54,2386.9572222222223,12.013148148148149,0.6612669587999677,1488.6027777777776,62.36403249790585,8.91685185185185,74.22577114581244,-1,Anomaly,75.05,High
